Prompt,Version,content_urls,style_urls,char_urls,content_alt,style_alt,char_alt,palette,mood,texture,subject,action,style_or_type,place,time,parameters,tension_note,meta_json
"https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns https://s.mj.run/KKyn8luLS_A https://s.mj.run/5F9Mlo9kBUY photograph of a huge textile installation made of gold covering a building in Paris at golden hour, summer, spectators, streets, kodak portra --ar 4:5",6.1,https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns https://s.mj.run/KKyn8luLS_A https://s.mj.run/5F9Mlo9kBUY ,,,"Artistic gold ring with a pearl, featuring an organic design. | Glossy blue ceramic with a gold accent, resembling organic forms. | Abstract patterns of dark and light fluid textures. | Abstract design featuring dark textures and colorful star-like lights.",,,gold,artistic,fluid,textile installation,covering,photograph,Paris,golden hour,Kodak Portra,spectators,"{
  ""palette"":""gold"",
  ""mood"":""artistic"",
  ""texture"":""fluid"",
  ""subject"":""textile installation"",
  ""action"":""covering"",
  ""style_or_type"":""photograph"",
  ""place"":""Paris"",
  ""time"":""golden hour"",
  ""parameters"":""Kodak Portra"",
  ""tension_note"":""spectators""
}"
"https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns https://s.mj.run/KKyn8luLS_A https://s.mj.run/5F9Mlo9kBUY 70s photograph of a huge installation made of gold on a hill in Tuscany, kodak portra --ar 4:5",6.1,https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns https://s.mj.run/KKyn8luLS_A https://s.mj.run/5F9Mlo9kBUY ,,,"Artistic gold ring with a pearl, featuring an organic design. | Glossy blue ceramic with a gold accent, resembling organic forms. | Abstract patterns of dark and light fluid textures. | Abstract design featuring dark textures and colorful star-like lights.",,,"gold, blue",artistic,organic,installation,,photograph,Tuscany,70s,kodak portra --ar 4:5,,"{
  ""palette"":""gold, blue"",
  ""mood"":""artistic"",
  ""texture"":""organic"",
  ""subject"":""installation"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""Tuscany"",
  ""time"":""70s"",
  ""parameters"":""kodak portra --ar 4:5"",
  ""tension_note"":""""
}"
"https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns 70s photograph of a sculpture with surreal gold details standing next to water with reflection, kodak portra --ar 4:5",6.1,https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns ,,,"Artistic gold ring with a pearl, featuring an organic design. | Glossy blue ceramic with a gold accent, resembling organic forms.",,,"gold, blue",surreal,glossy,sculpture,standing,70s photograph,next to water,70s,kodak portra --ar 4:5,reflection,"{
  ""palette"":""gold, blue"",
  ""mood"":""surreal"",
  ""texture"":""glossy"",
  ""subject"":""sculpture"",
  ""action"":""standing"",
  ""style_or_type"":""70s photograph"",
  ""place"":""next to water"",
  ""time"":""70s"",
  ""parameters"":""kodak portra --ar 4:5"",
  ""tension_note"":""reflection""
}"
"https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns https://s.mj.run/KKyn8luLS_A https://s.mj.run/g8PI6Fve8iw https://s.mj.run/mymEHjoMNn0 70s photograph of model with surreal gold details standing next to water with reflection, kodak portra --ar 4:5 --sref https://s.mj.run/LNL94DYZaiI",6.1,https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns https://s.mj.run/KKyn8luLS_A https://s.mj.run/g8PI6Fve8iw https://s.mj.run/mymEHjoMNn0 ,https://s.mj.run/LNL94DYZaiI,,"Artistic gold ring with a pearl, featuring an organic design. | Glossy blue ceramic with a gold accent, resembling organic forms. | Abstract patterns of dark and light fluid textures. | A person stands on a barren landscape with a reflective pool. | Abstract figure in monochrome, resembling a human silhouette.","Soft, ethereal tones with a textured golden headpiece and sheer fabric.",,"gold, blue",surreal,"glossy, organic",model,standing,photograph,water,70s,--ar 4:5 --sref,,"{
  ""palette"":""gold, blue"",
  ""mood"":""surreal"",
  ""texture"":""glossy, organic"",
  ""subject"":""model"",
  ""action"":""standing"",
  ""style_or_type"":""photograph"",
  ""place"":""water"",
  ""time"":""70s"",
  ""parameters"":""--ar 4:5 --sref"",
  ""tension_note"":""""
}"
"https://s.mj.run/8HavMuIsp5c https://s.mj.run/uPg3upQc2o8 https://s.mj.run/HC1XNBPQYGo 70s photograph of an organically shaped building covered in moss in Oslo on a summer night, Kodak portra. --ar 4:5",6.1,https://s.mj.run/8HavMuIsp5c https://s.mj.run/uPg3upQc2o8 https://s.mj.run/HC1XNBPQYGo ,,,"Large, sculpted green bushes resembling abstract shapes under cloudy sky. | Modern wooden house entrance with glass panels and grassy surroundings. | Modern buildings with illuminated windows beside a calm waterway.",,,green,calm,organic,building,,photograph,Oslo,summer night,Kodak portra,,"{
  ""palette"":""green"",
  ""mood"":""calm"",
  ""texture"":""organic"",
  ""subject"":""building"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""Oslo"",
  ""time"":""summer night"",
  ""parameters"":""Kodak portra"",
  ""tension_note"":""""
}"
"https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/zFd7UKQroKE https://s.mj.run/iuST6jYMpWQ https://s.mj.run/dpoKNWNvL4w https://s.mj.run/XWVlqy2glaU https://s.mj.run/G5iwtbF1OaM 70s photograph psychedelic blue desert dunes at night, kodak portra --ar 4:5",6.1,https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/zFd7UKQroKE https://s.mj.run/iuST6jYMpWQ https://s.mj.run/dpoKNWNvL4w https://s.mj.run/XWVlqy2glaU https://s.mj.run/G5iwtbF1OaM ,,,"Circular pattern etched in dark, textured surface. Soft, muted lighting. | Abstract shape in vibrant blue against a black background. | Blue lotus patterns on a dark background create a striking visual. | Solid blue canvas with textured surface, minimalistic and abstract. | Abstract swirling patterns in deep blue and shimmering gold tones. | A glowing blue jellyfish with radiating tentacles against a dark background.",,,blue,psychedelic,textured,desert dunes,,photograph,desert,night,"Kodak Portra, --ar 4:5",,"{
  ""palette"":""blue"",
  ""mood"":""psychedelic"",
  ""texture"":""textured"",
  ""subject"":""desert dunes"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""desert"",
  ""time"":""night"",
  ""parameters"":""Kodak Portra, --ar 4:5"",
  ""tension_note"":""""
}"
https://s.mj.run/wclFAYrrcIU https://s.mj.run/2QQH-JHDl8I https://s.mj.run/JZNcBTBh5hg https://s.mj.run/oYnn3aP3Xmc https://s.mj.run/3zgt6fPd1Ng 70s photograph of a surreal red luminous sculpture inside a dark museum hall with spectators and a water pool on the floor --ar 4:5,6.1,https://s.mj.run/wclFAYrrcIU https://s.mj.run/2QQH-JHDl8I https://s.mj.run/JZNcBTBh5hg https://s.mj.run/oYnn3aP3Xmc https://s.mj.run/3zgt6fPd1Ng ,,,"Red circular pattern on a black background, with a textured edge. | A reflective sphere with colorful light patterns against a dark background. | Abstract artwork with vibrant colors and textured patterns. | BROKEN_URL | Vibrant orange and soft pastel hues create a dynamic, textured installation.",,,red,surreal,textured,sculpture,displayed,abstract,museum,70s,--ar 4:5,dark,"{
  ""palette"":""red"",
  ""mood"":""surreal"",
  ""texture"":""textured"",
  ""subject"":""sculpture"",
  ""action"":""displayed"",
  ""style_or_type"":""abstract"",
  ""place"":""museum"",
  ""time"":""70s"",
  ""parameters"":""--ar 4:5"",
  ""tension_note"":""dark""
}"
"https://s.mj.run/2amKUYRKzxA https://s.mj.run/7tUo8HC5NSg https://s.mj.run/mymEHjoMNn0 https://s.mj.run/r2wfPaZ4ewc 70s still life photograph of an delicate sculpture with intricate gold details, Irving penn, Kodak portra, --ar 4:5",6.1,https://s.mj.run/2amKUYRKzxA https://s.mj.run/7tUo8HC5NSg https://s.mj.run/mymEHjoMNn0 https://s.mj.run/r2wfPaZ4ewc ,,,"BROKEN_URL | Glittering golden branches against a dark background. | Abstract figure in monochrome, resembling a human silhouette. | Abstract artwork featuring a brown background and white outlines.",,,"gold, dark",elegant,intricate,sculpture,,still life,,70s,--ar 4:5,,"{
  ""palette"": ""gold, dark"",
  ""mood"": ""elegant"",
  ""texture"": ""intricate"",
  ""subject"": ""sculpture"",
  ""action"": """",
  ""style_or_type"": ""still life"",
  ""place"": """",
  ""time"": ""70s"",
  ""parameters"": ""--ar 4:5"",
  ""tension_note"": """"
}"
https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/iuST6jYMpWQ https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/MHv3jdX6XDk https://s.mj.run/zwJtQDWZbDo 70s photograph of a fashion model with a delicate sculpture with gold details in a tuscan landscape at dusk --ar 4:5,6.1,https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/iuST6jYMpWQ https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/MHv3jdX6XDk https://s.mj.run/zwJtQDWZbDo ,,,"BROKEN_URL | A reflective sphere with colorful light patterns against a dark background. | Blue lotus patterns on a dark background create a striking visual. | Circular pattern etched in dark, textured surface. Soft, muted lighting. | Golden bull head sculpture with intricate details and decorative elements. | A surreal portrait of a figure with a distorted reflection.",,,gold,serene,smooth,model,,photograph,Tuscan landscape,dusk,4:5,,"{
  ""palette"": ""gold"",
  ""mood"": ""serene"",
  ""texture"": ""smooth"",
  ""subject"": ""model"",
  ""action"": """",
  ""style_or_type"": ""photograph"",
  ""place"": ""Tuscan landscape"",
  ""time"": ""dusk"",
  ""parameters"": ""4:5"",
  ""tension_note"": """"
}"
https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/iuST6jYMpWQ https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/MHv3jdX6XDk 70s film photograph of an immersive sensual indigo surreal sculpture with delicate gold details floating out on the floor in a large museum hall with spectators --ar 4:5,6.1,https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/iuST6jYMpWQ https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/MHv3jdX6XDk ,,,"BROKEN_URL | A reflective sphere with colorful light patterns against a dark background. | Blue lotus patterns on a dark background create a striking visual. | Circular pattern etched in dark, textured surface. Soft, muted lighting. | Golden bull head sculpture with intricate details and decorative elements.",,,"indigo, gold",sensual,reflective,sculpture,floating,surreal,museum,70s,immersive,,"{
  ""palette"": ""indigo, gold"",
  ""mood"": ""sensual"",
  ""texture"": ""reflective"",
  ""subject"": ""sculpture"",
  ""action"": ""floating"",
  ""style_or_type"": ""surreal"",
  ""place"": ""museum"",
  ""time"": ""70s"",
  ""parameters"": ""immersive"",
  ""tension_note"": """"
}"
https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/iuST6jYMpWQ https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/xeC3xwJBPxY https://s.mj.run/qYGxU8W32WQ 70s photograph of a large intricate deep green artwork with texture and layers in a large museum hall with spectators --ar 4:5,6.1,https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/iuST6jYMpWQ https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/xeC3xwJBPxY https://s.mj.run/qYGxU8W32WQ ,,,"A draped, deep blue fabric forms a mysterious, abstract shape. | A reflective sphere with colorful light patterns against a dark background. | Blue lotus patterns on a dark background create a striking visual. | Circular pattern etched in dark, textured surface. Soft, muted lighting. | BROKEN_URL | Lush green landscape with a waterfall cascading between rocky cliffs.",,,deep green,intricate,layered,artwork,displayed,photograph,museum,70s,ar 4:5,,"{
  ""palette"": ""deep green"",
  ""mood"": ""intricate"",
  ""texture"": ""layered"",
  ""subject"": ""artwork"",
  ""action"": ""displayed"",
  ""style_or_type"": ""photograph"",
  ""place"": ""museum"",
  ""time"": ""70s"",
  ""parameters"": ""ar 4:5"",
  ""tension_note"": """"
}"
"https://s.mj.run/N0dH67a2710 https://s.mj.run/iuST6jYMpWQ https://s.mj.run/xeC3xwJBPxY https://s.mj.run/MHv3jdX6XDk https://s.mj.run/6jsQgt2uk6c 70s photograph of a large art installation in a museum hall with spectators at night, kodak portra --ar 4:5",6.1,https://s.mj.run/N0dH67a2710 https://s.mj.run/iuST6jYMpWQ https://s.mj.run/xeC3xwJBPxY https://s.mj.run/MHv3jdX6XDk https://s.mj.run/6jsQgt2uk6c ,,,"Close-up of a pink, fleshy object with a split center. | Blue lotus patterns on a dark background create a striking visual. | BROKEN_URL | Golden bull head sculpture with intricate details and decorative elements. | BROKEN_URL",,,"pink, blue, gold",artistic,"fleshy, intricate",art installation,viewing,photograph,museum,night,"Kodak Portra, 70s",spectators,"{
  ""palette"":""pink, blue, gold"",
  ""mood"":""artistic"",
  ""texture"":""fleshy, intricate"",
  ""subject"":""art installation"",
  ""action"":""viewing"",
  ""style_or_type"":""photograph"",
  ""place"":""museum"",
  ""time"":""night"",
  ""parameters"":""Kodak Portra, 70s"",
  ""tension_note"":""spectators""
}"
"https://s.mj.run/N0dH67a2710 https://s.mj.run/iuST6jYMpWQ https://s.mj.run/xeC3xwJBPxY https://s.mj.run/MHv3jdX6XDk 70s still life photograph of delicate sculpture on a dark blue background, gold details, kodak portra --ar 4:5",6.1,https://s.mj.run/N0dH67a2710 https://s.mj.run/iuST6jYMpWQ https://s.mj.run/xeC3xwJBPxY https://s.mj.run/MHv3jdX6XDk ,,,"Close-up of a pink, fleshy object with a split center. | Blue lotus patterns on a dark background create a striking visual. | Abstract green swirl against a dark background, creating a dynamic effect. | Golden bull head sculpture with intricate details and decorative elements.",,,"blue, gold, pink, green",delicate,"fleshy, intricate",sculpture,,still life,,70s,"Kodak Portra, --ar 4:5",striking visual,"{
  ""palette"":""blue, gold, pink, green"",
  ""mood"":""delicate"",
  ""texture"":""fleshy, intricate"",
  ""subject"":""sculpture"",
  ""action"":"""",
  ""style_or_type"":""still life"",
  ""place"":"""",
  ""time"":""70s"",
  ""parameters"":""Kodak Portra, --ar 4:5"",
  ""tension_note"":""striking visual""
}"
"https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/iuST6jYMpWQ https://s.mj.run/T0SPnp4EqeQ Giant delicate fabric forms covering a residential building in Paris during golden hour in summer, photo taken from across the street --ar 4:5",6.1,https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/iuST6jYMpWQ https://s.mj.run/T0SPnp4EqeQ ,,,"A draped, deep blue fabric forms a mysterious, abstract shape. | A reflective sphere with colorful light patterns against a dark background. | Blue lotus patterns on a dark background create a striking visual. | Circular pattern etched in dark, textured surface. Soft, muted lighting.",,,blue,mysterious,soft,fabric,covering,abstract,Paris,golden hour,residential building,,"{
  ""palette"": ""blue"",
  ""mood"": ""mysterious"",
  ""texture"": ""soft"",
  ""subject"": ""fabric"",
  ""action"": ""covering"",
  ""style_or_type"": ""abstract"",
  ""place"": ""Paris"",
  ""time"": ""golden hour"",
  ""parameters"": ""residential building"",
  ""tension_note"": """"
}"
https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/iuST6jYMpWQ https://s.mj.run/T0SPnp4EqeQ delicate fabric forms --ar 4:5,6.1,https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/iuST6jYMpWQ https://s.mj.run/T0SPnp4EqeQ ,,,"A draped, deep blue fabric forms a mysterious, abstract shape. | A reflective sphere with colorful light patterns against a dark background. | Blue lotus patterns on a dark background create a striking visual. | Circular pattern etched in dark, textured surface. Soft, muted lighting.",,,blue,mysterious,soft,fabric,,abstract,,,ar 4:5,,"{
  ""palette"": ""blue"",
  ""mood"": ""mysterious"",
  ""texture"": ""soft"",
  ""subject"": ""fabric"",
  ""action"": """",
  ""style_or_type"": ""abstract"",
  ""place"": """",
  ""time"": """",
  ""parameters"": ""ar 4:5"",
  ""tension_note"": """"
}"
"https://s.mj.run/vWx9eGdrFLw https://s.mj.run/L9ciKi32uSQ https://s.mj.run/_M4lt5DT8ew https://s.mj.run/LqcvmYKIjJY https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/xeC3xwJBPxY 70s still life photograph of an organically shaped art installation with delicate fabric in a large museum hall with spectators, kodak portra --ar 4:5",6.1,https://s.mj.run/vWx9eGdrFLw https://s.mj.run/L9ciKi32uSQ https://s.mj.run/_M4lt5DT8ew https://s.mj.run/LqcvmYKIjJY https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/xeC3xwJBPxY ,,,"Abstract wavy lines in soft colors create a textured, flowing pattern. | Abstract pink and orange layered design resembling a glowing tunnel. | Close-up of flower petals with droplets, showcasing soft colors and textures. | Close-up of orange fruit with juice droplets. | Circular pattern etched in dark, textured surface. Soft, muted lighting. | Abstract green swirl against a dark background, creating a dynamic effect.",,,soft colors,delicate,textured,art installation,displaying,still life,museum,70s,kodak portra --ar 4:5,,"{
  ""palette"":""soft colors"",
  ""mood"":""delicate"",
  ""texture"":""textured"",
  ""subject"":""art installation"",
  ""action"":""displaying"",
  ""style_or_type"":""still life"",
  ""place"":""museum"",
  ""time"":""70s"",
  ""parameters"":""kodak portra --ar 4:5"",
  ""tension_note"":""""
}"
"https://s.mj.run/xT2RoVTa_-g https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/7tUo8HC5NSg https://s.mj.run/oYnn3aP3Xmc https://s.mj.run/sstnXRCcTuw https://s.mj.run/WyEMSg83Hpg 70s photograph of a giant surreal art installation in a museum hall with spectators and walking into it, kodak portra --ar 4:5",6.1,https://s.mj.run/xT2RoVTa_-g https://s.mj.run/T0SPnp4EqeQ https://s.mj.run/7tUo8HC5NSg https://s.mj.run/oYnn3aP3Xmc https://s.mj.run/sstnXRCcTuw https://s.mj.run/WyEMSg83Hpg ,,,"Intricate circular pattern with vibrant colors on a dark background. | Circular pattern etched in dark, textured surface. Soft, muted lighting. | Glittering golden branches against a dark background. | A child stands in front of a large, translucent sphere. | Abstract swirling colors creating a hypnotic, eye-like shape. | A winding path leads to a glowing rectangular doorway.",,,vibrant,surreal,intricate,art installation,spectators walking,70s photograph,museum hall,70s,kodak portra --ar 4:5,,"{
  ""palette"":""vibrant"",
  ""mood"":""surreal"",
  ""texture"":""intricate"",
  ""subject"":""art installation"",
  ""action"":""spectators walking"",
  ""style_or_type"":""70s photograph"",
  ""place"":""museum hall"",
  ""time"":""70s"",
  ""parameters"":""kodak portra --ar 4:5"",
  ""tension_note"":""""
}"
"https://s.mj.run/CXg2tm1UcbQ https://s.mj.run/xeC3xwJBPxY https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/G5iwtbF1OaM a 70s still life photograph of a psychedelic gold metal tree on a dark background, kodak portra --ar 4:5",6.1,https://s.mj.run/CXg2tm1UcbQ https://s.mj.run/xeC3xwJBPxY https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/G5iwtbF1OaM ,,,"Abstract artwork featuring curved, textured lines in green and white. | Abstract green swirl against a dark background, creating a dynamic effect. | A draped, deep blue fabric forms a mysterious, abstract shape. | A reflective sphere with colorful light patterns against a dark background. | A glowing blue jellyfish with radiating tentacles against a dark background.",,,"gold, dark",psychedelic,metallic,tree,,still life,,70s,kodak portra --ar 4:5,,"{
  ""palette"":""gold, dark"",
  ""mood"":""psychedelic"",
  ""texture"":""metallic"",
  ""subject"":""tree"",
  ""action"":"""",
  ""style_or_type"":""still life"",
  ""place"":"""",
  ""time"":""70s"",
  ""parameters"":""kodak portra --ar 4:5"",
  ""tension_note"":""""
}"
"https://s.mj.run/CXg2tm1UcbQ https://s.mj.run/xeC3xwJBPxY https://s.mj.run/zwJtQDWZbDo https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/G5iwtbF1OaM a 70s still life photograph of gold metal sculpture in layers and the legs of a female fashion model on a dark background, kodak portra --ar 4:5",6.1,https://s.mj.run/CXg2tm1UcbQ https://s.mj.run/xeC3xwJBPxY https://s.mj.run/zwJtQDWZbDo https://s.mj.run/TiTK21uRcIE https://s.mj.run/2QQH-JHDl8I https://s.mj.run/G5iwtbF1OaM ,,,"Abstract artwork featuring curved, textured lines in green and white. | Abstract green swirl against a dark background, creating a dynamic effect. | A surreal portrait of a figure with a distorted reflection. | A draped, deep blue fabric forms a mysterious, abstract shape. | A reflective sphere with colorful light patterns against a dark background. | A glowing blue jellyfish with radiating tentacles against a dark background.",,,dark,surreal,metallic,sculpture,,still life,,70s,kodak portra,,"{
  ""palette"": ""dark"",
  ""mood"": ""surreal"",
  ""texture"": ""metallic"",
  ""subject"": ""sculpture"",
  ""action"": """",
  ""style_or_type"": ""still life"",
  ""place"": """",
  ""time"": ""70s"",
  ""parameters"": ""kodak portra"",
  ""tension_note"": """"
}"
"https://s.mj.run/CXg2tm1UcbQ https://s.mj.run/xeC3xwJBPxY a 70s still life photograph of gold metal in layers on a dark background, kodak portra --ar 4:5",6.1,https://s.mj.run/CXg2tm1UcbQ https://s.mj.run/xeC3xwJBPxY ,,,"Abstract artwork featuring curved, textured lines in green and white. | Abstract green swirl against a dark background, creating a dynamic effect.",,,"gold, dark",nostalgic,metallic,still life,,photograph,,70s,"kodak portra, --ar 4:5",,"{
  ""palette"":""gold, dark"",
  ""mood"":""nostalgic"",
  ""texture"":""metallic"",
  ""subject"":""still life"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":"""",
  ""time"":""70s"",
  ""parameters"":""kodak portra, --ar 4:5"",
  ""tension_note"":""""
}"
"https://s.mj.run/CXg2tm1UcbQ https://s.mj.run/rFodB4kLyZA https://s.mj.run/G5iwtbF1OaM https://s.mj.run/iYVMNdH0N2Q https://s.mj.run/qh1pvNIDoeU A 70s photograph of an art installation with an organically shaped large portal inside a museum hall with a close up of spectators, kodak portra --ar 4:5",6.1,https://s.mj.run/CXg2tm1UcbQ https://s.mj.run/rFodB4kLyZA https://s.mj.run/G5iwtbF1OaM https://s.mj.run/iYVMNdH0N2Q https://s.mj.run/qh1pvNIDoeU ,,,"Abstract artwork featuring curved, textured lines in green and white. | Abstract green pattern with wavy lines and dark accents. | A glowing blue jellyfish with radiating tentacles against a dark background. | Abstract pyramid of blue spheres under a glowing orb in darkness. | Abstract painting with vertical streaks of color against a dark background.",,,"green, white",abstract,curved,art installation,spectators,photograph,museum,70s,kodak portra --ar 4:5,,"{
  ""palette"": ""green, white"",
  ""mood"": ""abstract"",
  ""texture"": ""curved"",
  ""subject"": ""art installation"",
  ""action"": ""spectators"",
  ""style_or_type"": ""photograph"",
  ""place"": ""museum"",
  ""time"": ""70s"",
  ""parameters"": ""kodak portra --ar 4:5"",
  ""tension_note"": """"
}"
"https://s.mj.run/CXg2tm1UcbQ https://s.mj.run/_wSyvsgdkEs https://s.mj.run/NVWjFMKXGhU https://s.mj.run/rFodB4kLyZA https://s.mj.run/xeC3xwJBPxY A 70s photograph of an art installation with an organically shaped floor in a large museum hall with spectators sitting, kodak portra --ar 4:5",6.1,https://s.mj.run/CXg2tm1UcbQ https://s.mj.run/_wSyvsgdkEs https://s.mj.run/NVWjFMKXGhU https://s.mj.run/rFodB4kLyZA https://s.mj.run/xeC3xwJBPxY ,,,"Abstract artwork featuring curved, textured lines in green and white. | Abstract green texture with subtle variations and faint lines. | Abstract wavy lines in soft green and white tones. | Abstract green pattern with wavy lines and dark accents. | Abstract green swirl against a dark background, creating a dynamic effect.",,,green,dynamic,curved,art installation,spectating,abstract,museum,70s,kodak portra,,"{
  ""palette"": ""green"",
  ""mood"": ""dynamic"",
  ""texture"": ""curved"",
  ""subject"": ""art installation"",
  ""action"": ""spectating"",
  ""style_or_type"": ""abstract"",
  ""place"": ""museum"",
  ""time"": ""70s"",
  ""parameters"": ""kodak portra"",
  ""tension_note"": """"
}"
"https://s.mj.run/G5iwtbF1OaM https://s.mj.run/wQAyNjHGJnM https://s.mj.run/Vk8P9m2f0js https://s.mj.run/IoZHrKUkVDY a 70s art photograph on film of a large surreal art installation covering a large museum hall, with spectators, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/G5iwtbF1OaM https://s.mj.run/wQAyNjHGJnM https://s.mj.run/Vk8P9m2f0js https://s.mj.run/IoZHrKUkVDY ,,,A glowing blue jellyfish with radiating tentacles against a dark background. | Abstract artwork with vibrant colors and textured patterns. | Colorful abstract waves with circular shapes and vibrant gradients. | A red pond surrounded by mossy terrain and mountains.,,,vibrant,surreal,textured,art installation,spectating,70s photograph,museum hall,70s,kodak portra,,"{
  ""palette"":""vibrant"",
  ""mood"":""surreal"",
  ""texture"":""textured"",
  ""subject"":""art installation"",
  ""action"":""spectating"",
  ""style_or_type"":""70s photograph"",
  ""place"":""museum hall"",
  ""time"":""70s"",
  ""parameters"":""kodak portra"",
  ""tension_note"":""""
}"
"https://s.mj.run/ZfDb-4slkDE https://s.mj.run/s-OYQ_r9duo https://s.mj.run/PeLQN9T3NG4 https://s.mj.run/5oUzSPxVAts https://s.mj.run/ZmQEKpIa1IM https://s.mj.run/st7SwI54mqs a 70s art photograph on film of a large underwater spiritual monument on the ocean floor with colorful structures, beautiful woman swimming across, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/ZfDb-4slkDE https://s.mj.run/s-OYQ_r9duo https://s.mj.run/PeLQN9T3NG4 https://s.mj.run/5oUzSPxVAts https://s.mj.run/ZmQEKpIa1IM https://s.mj.run/st7SwI54mqs ,,,"Colorful circular pattern with intricate designs and textures. | Colorful abstract pattern with intricate, radiating shapes and lines. | Colorful fish swimming among vibrant sea anemones in clear water. | Colorful underwater scene featuring various sea anemones and corals. | BROKEN_URL | Layered mountains shrouded in mist, creating a serene atmosphere.",,,colorful,spiritual,intricate,monument,swimming,70s photograph,ocean floor,70s,kodak portra,,"{
  ""palette"":""colorful"",
  ""mood"":""spiritual"",
  ""texture"":""intricate"",
  ""subject"":""monument"",
  ""action"":""swimming"",
  ""style_or_type"":""70s photograph"",
  ""place"":""ocean floor"",
  ""time"":""70s"",
  ""parameters"":""kodak portra"",
  ""tension_note"":""""
}"
"https://s.mj.run/G5iwtbF1OaM https://s.mj.run/wQAyNjHGJnM https://s.mj.run/Vk8P9m2f0js https://s.mj.run/IoZHrKUkVDY a 70s art photograph on film of a large surreal art installation in a large museum hall, with spectators, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/G5iwtbF1OaM https://s.mj.run/wQAyNjHGJnM https://s.mj.run/Vk8P9m2f0js https://s.mj.run/IoZHrKUkVDY ,,,A glowing blue jellyfish with radiating tentacles against a dark background. | Abstract artwork with vibrant colors and textured patterns. | Colorful abstract waves with circular shapes and vibrant gradients. | A red pond surrounded by mossy terrain and mountains.,,,vibrant,surreal,textured,art installation,spectating,70s photograph,museum hall,70s,kodak portra,,"{
  ""palette"":""vibrant"",
  ""mood"":""surreal"",
  ""texture"":""textured"",
  ""subject"":""art installation"",
  ""action"":""spectating"",
  ""style_or_type"":""70s photograph"",
  ""place"":""museum hall"",
  ""time"":""70s"",
  ""parameters"":""kodak portra"",
  ""tension_note"":""""
}"
